treatment,ros
ctrl,26.6190476
ctrl,26.375
ctrl,31.7916667
ctrl,29.1078678
ctrl,27.3829888
col,64.7083333
col,55.9583333
col,56.1916667
col,59.025073
col,60.0765908
cvi,51.375
cvi,53.875
cvi,40.5583333
cvi,46.9693334
cvi,50.474251
br,33.4583333
br,30.2083333
br,42.625
br,36.76468123
br,33.82968874
